O_order;O_code;O_dlots;O_Nlot;O_aval;O_daval;O_year_p;O_countryp_code;O_finstr;R_bids;R_dbids;O_dnegotiated;O_scope;E_Pref;R_pcost;E_indice;O_catpro;E_GDP_1;E_DTF_1;E_distance;viable
169;138757;1;3;2500;1;2017;MK;IPA;1;1;0;0;166666,67;158800;0,9528;1;10,925;74,43;1629;1
170;138757;1;8;2000;1;2017;MK;IPA;1;1;0;0;133333,33;121741;0,9131;2;10,925;74,43;1629;1
173;128615;0;1;5000;1;2015;TK;IPA;2;1;0;0;333333,33;274800;0,8244;2;1025,467;72,83;2516;1
174;131547;1;2;4500;1;2015;TK;IPA;2;1;0;0;300000;394159;1,3139;2;1025,467;72,83;2735;1
175;131547;1;4;25000;1;2016;TK;IPA;2;1;0;0;1666666,67;2297000;1,3782;3;1087,876;73,26;2735;1
176;131547;1;7;2000;1;2015;TK;IPA;2;1;0;0;133333,33;158350;1,1876;3;1025,467;72,83;2735;1
177;131769;1;4;3000;1;2015;TK;IPA;2;1;0;0;200000;173930;0,8697;2;1025,467;72,83;2477;1
179;133365;1;3;3000;1;2016;TK;IPA;2;1;0;0;200000;266560;1,3328;1;1087,876;73,26;2658;1
180;133365;1;6;1100;1;2016;TK;IPA;2;1;0;0;73333,33;109417;1,4921;2;1087,876;73,26;2658;1
182;134233;1;1;12000;1;2017;TK;IPA;2;1;0;0;800000;659000;0,8238;4;1122,512;73,26;3149;1
183;135158;1;1;2250;1;2016;TK;IPA;2;1;1;0;150000;163000;1,0867;2;1087,876;73,26;3121;1
185;135289;1;3;4200;1;2015;TK;IPA;2;1;0;0;280000;391050;1,3966;3;1025,467;72,83;2516;1
187;135520;1;1;11000;1;2015;SB;IPA;2;1;0;0;733333,33;793240;1,0817;4;39,882;72,48;1370;1
188;135612;1;3;3500;1;2017;TK;IPA;2;1;0;0;233333,33;188100;0,8061;2;1122,512;73,26;2975;1
189;135612;1;4;3000;1;2017;TK;IPA;2;1;0;0;200000;162490;0,8125;4;1122,512;73,26;2975;1
191;135620;1;2;1500;1;2015;SB;IPA;2;1;0;0;100000;67800;0,678;1;39,882;72,48;1370;1
192;135634;1;3;4500;1;2016;SB;IPA;2;1;0;0;300000;249595,6;0,832;1;40,184;72,13;1370;1
196;135892;1;1;3600;1;2014;MK;IPA;2;1;0;0;240000;353000;1,4708;2;9,864;74,43;1629;1
197;135893;1;1;5500;1;2016;TK;IPA;2;1;0;0;366666,67;395275;1,078;2;1087,876;73,26;2516;1
198;135972;1;6;1800;1;2015;TK;IPA;2;1;0;0;120000;170577;1,4215;3;1025,467;72,83;2516;1
199;136062;0;1;20000;1;2015;MK;IPA;2;1;0;0;1333333,33;968000;0,726;1;10,222;74,43;1629;1
200;136086;1;2;1400;1;2015;BA;IPA;2;1;0;0;93333,33;149000;1,5964;4;17,805;69,6;1307;1
201;136166;1;2;2000;1;2014;BA;IPA;2;1;0;0;133333,33;167845;1,2588;2;17,603;69,55;1307;1
202;136346;0;1;1500;1;2014;XK;EULEX;2;1;0;1;100000;83841,37;0,8384;4;6,503;66,71;1563;1
203;136387;1;1;6000;1;2015;TK;IPA;2;1;0;0;400000;355887;0,8897;2;1025,467;72,83;2516;1
208;136617;1;1;4200;1;2016;BA;IPA;2;1;0;0;280000;535000;1,9107;4;18,353;69,76;1307;1
213;136774;1;4;7093,75;1;2015;XK;EULEX;2;1;0;0;472916,67;644752,74;1,3634;2;6,581;67;1563;1
214;136776;1;1;3600;1;2015;XK;EULEX;2;1;0;0;240000;240000;1;4;6,581;67;1563;1
215;136838;1;2;5000;1;2015;SB;IPA;2;1;0;0;333333,33;247764;0,7433;4;39,882;72,48;1370;1
216;137031;0;1;20000;1;2015;AL;IPA;2;1;0;0;1333333,33;1233200;0,9249;1;12,751;72,55;1593;1
219;137122;0;1;30500;1;2016;SB;IPA;2;1;0;0;2033333,33;1586420;0,7802;2;40,184;72,13;1370;1
220;137186;1;2;6000;1;2016;TK;IPA;2;1;0;0;400000;346400;0,866;4;1087,876;73,26;3027;1
221;137260;0;1;5000;1;2016;MK;IPA;2;1;0;0;333333,33;246900;0,7407;2;10,614;74,43;1629;1
222;137331;1;1;3000;1;2016;BA;IPA;2;1;0;0;200000;289723,83;1,4486;2;18,353;69,76;1307;1
223;137331;1;2;2400;1;2016;BA;IPA;2;1;0;0;160000;253334,54;1,5833;2;18,353;69,76;1307;1
225;137598;1;6;2000;1;2016;MK;IPA;2;1;0;0;133333,33;87260;0,6545;1;10,614;74,43;1630;1
227;137646;1;1;1000;1;2016;BA;IPA;2;1;0;0;66666,67;130250;1,9538;2;18,353;69,76;1307;1
228;137646;1;5;850;1;2016;BA;IPA;2;1;0;0;56666,67;72988;1,288;2;18,353;69,76;1307;1
233;137651;1;8;1100;1;2016;SB;IPA;2;1;0;0;73333,33;91452,52;1,2471;4;40,184;72,13;1370;1
234;137656;1;1;15000;1;2015;MK;IPA;2;1;1;0;1000000;789624;0,7896;4;10,222;74,43;1563;1
235;137678;0;1;18000;1;2016;BA;IPA;2;1;0;0;1200000;1028160;0,8568;1;18,353;69,76;1307;1
236;137811;1;1;1800;1;2016;MK;IPA;2;1;0;0;120000;123950;1,0329;4;10,614;74,43;1629;1
238;137888;1;3;4000;1;2017;TK;IPA;2;1;0;0;266666,67;289632;1,0861;3;1122,512;73,26;2611;1
240;137911;1;4;1000;1;2016;TK;IPA;2;1;0;0;66666,67;44000;0,66;1;1087,876;73,26;2658;1
241;137937;0;1;7500;1;2016;MK;IPA;2;1;0;0;500000;453196;0,9064;2;10,614;74,43;1629;1
242;137965;0;1;2500;1;2016;MK;IPA;2;1;0;0;166666,67;229650;1,3779;2;10,614;74,43;1629;1
245;138265;1;1;5100;1;2016;AL;IPA;2;1;0;0;340000;407584;1,1988;1;13,034;72,48;1593;1
246;138293;1;1;18000;1;2017;AL;IPA;2;1;0;0;1200000;1022510;0,8521;1;13,471;72,83;1593;1
247;138464;1;1;7000;1;2017;TK;IPA;2;1;0;0;466666,67;427000;0,915;4;1122,512;73,26;2627;1
248;138478;1;4;9500;1;2017;TK;IPA;2;1;1;0;633333,33;484500;0,765;4;1122,512;73,26;3225;1
251;138718;0;1;12000;1;2017;MK;IPA;2;1;0;0;800000;796000;0,995;1;10,925;74,43;1629;1
252;138739;0;1;9600;1;2017;XK;EULEX;2;1;0;0;640000;800000;1,25;1;7,129;67,7;1563;1
253;138757;1;4;3000;1;2017;MK;IPA;2;1;0;0;200000;122890;0,6145;1;10,925;74,43;1629;1
255;138971;1;1;2000;1;2017;XK;EULEX;2;1;0;1;133333,33;190000;1,425;4;7,129;67,7;1563;1
256;139082;0;4;1500;1;2017;TK;IPA;2;1;0;1;100000;127300;1,273;3;1122,512;73,26;3121;1
258;131326;1;3;3000;1;2017;TK;IPA;3;1;0;0;200000;208752;1,0438;3;1122,512;73,26;2772;1
261;132275;1;3;3000;1;2016;TK;IPA;3;1;0;0;200000;213100;1,0655;4;1087,876;73,26;3149;1
262;132367;1;2;2500;1;2016;TK;IPA;3;1;0;0;166666,67;197294,23;1,1838;2;1087,876;73,26;3000;1
263;132543;1;1;1200;1;2015;TK;IPA;3;1;0;0;80000;67212;0,8402;1;1025,467;72,83;2477;1
